"","i"
"1","k__Metazoa, p__Annelida, c__unknown, o__Haplotaxida, f__Lumbricidae, g__Lumbricus, s__Lumbricus_rubellus"
"2","k__Metazoa, p__Annelida, c__unknown, o__Haplotaxida, f__Tubificidae, g__Bothrioneurum, s__Bothrioneurum_vejdovskyanum"
"3","k__Metazoa, p__Annelida, c__unknown, o__Haplotaxida, f__Tubificidae, g__Chaetogaster, s__Chaetogaster_diaphanus"
"4","k__Metazoa, p__Annelida, c__unknown, o__Haplotaxida, f__Tubificidae, g__Chaetogaster, s__Chaetogaster_diastrophus"
"5","k__Metazoa, p__Annelida, c__unknown, o__Haplotaxida, f__Tubificidae, g__Nais, s__Nais_barbata"
"6","k__Metazoa, p__Annelida, c__unknown, o__Haplotaxida, f__Tubificidae, g__Nais, s__Nais_bretscheri"
"7","k__Metazoa, p__Annelida, c__unknown, o__Haplotaxida, f__Tubificidae, g__Nais, s__Nais_elinguis"
"8","k__Metazoa, p__Annelida, c__unknown, o__Haplotaxida, f__Tubificidae, g__Ophidonais, s__Ophidonais_serpentina"
"9","k__Metazoa, p__Annelida, c__unknown, o__Haplotaxida, f__Tubificidae, g__Psammoryctides, s__Psammoryctides_barbatus"
"10","k__Metazoa, p__Annelida, c__unknown, o__Haplotaxida, f__Tubificidae, g__Tubifex, s__Tubifex_tubifex"
"11","k__Metazoa, p__Arthropoda, c__Arachnida, o__unknown, f__Arrenuridae, g__Arrenurus, s__Arrenurus_securiformis"
"12","k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Bosminidae, g__Eubosmina, s__Eubosmina_coregoni"
"13","k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Daphniidae, g__Daphnia, s__Daphnia_magna"
"14","k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Eurycercidae, g__Eurycercus, s__Eurycercus_lamellatus"
"15","k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Polyphemidae, g__Polyphemus, s__Polyphemus_pediculus"
"16","k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Sididae, g__Sida, s__Sida_crystallina"
"17","k__Metazoa, p__Arthropoda, c__Insecta, o__Hymenoptera, f__Megachilidae, g__Osmia, s__Osmia_bicornis"
"18","k__Metazoa, p__Arthropoda, c__Malacostraca, o__Amphipoda, f__Gammaridae, g__Dikerogammarus, s__Dikerogammarus_villosus"
"19","k__Metazoa, p__Arthropoda, c__Malacostraca, o__Isopoda, f__Asellidae, g__Asellus, s__Asellus_aquaticus"
"20","k__Metazoa, p__Arthropoda, c__Maxillopoda, o__Calanoida, f__Temoridae, g__Eurytemora, s__Eurytemora_affinis"
"21","k__Metazoa, p__Arthropoda, c__Maxillopoda, o__Cyclopoida, f__Cyclopidae, g__Acanthocyclops, s__Acanthocyclops_robustus"
"22","k__Metazoa, p__Arthropoda, c__Maxillopoda, o__Cyclopoida, f__Cyclopidae, g__Eucyclops, s__Eucyclops_macrurus"
"23","k__Metazoa, p__Arthropoda, c__Maxillopoda, o__Cyclopoida, f__Cyclopidae, g__Eucyclops, s__Eucyclops_serrulatus"
"24","k__Metazoa, p__Arthropoda, c__Maxillopoda, o__Cyclopoida, f__Cyclopidae, g__Mesocyclops, s__Mesocyclops_leuckarti"
"25","k__Metazoa, p__Arthropoda, c__Ostracoda, o__Podocopida, f__Cyprididae, g__Eucypris, s__Eucypris_virens"
"26","k__Metazoa, p__Arthropoda, c__Ostracoda, o__Podocopida, f__Limnocytheridae, g__Limnocythere, s__Limnocythere_inopinata"
"27","k__Metazoa, p__Mollusca, c__Bivalvia, o__Unionoida, f__Unionidae, g__Anodonta, s__Anodonta_anatina"
"28","k__Metazoa, p__Mollusca, c__Bivalvia, o__Unionoida, f__Unionidae, g__Unio, s__Unio_pictorum"
"29","k__Metazoa, p__Mollusca, c__Bivalvia, o__Veneroida, f__Corbiculidae, g__Corbicula, s__Corbicula_fluminea"
"30","k__Metazoa, p__Mollusca, c__Bivalvia, o__Veneroida, f__Dreissenidae, g__Dreissena, s__Dreissena_polymorpha"
"31","k__Metazoa, p__Arthropoda, c__Maxillopoda, o__Cyclopoida, f__Cyclopidae"
"32","k__Fungi, p__Ascomycota, c__unknown, o__unknown, f__unknown, g__Tetracladium, s__Tetracladium_marchalianum"
"33","k__Fungi, p__Ascomycota, c__unknown, o__unknown, f__unknown, g__Tetracladium, s__Tetracladium_setigerum"
"34","k__Fungi, p__unknown, c__unknown, o__Mucorales, f__Lichtheimiaceae, g__Lichtheimia, s__Lichtheimia_ramosa"
"35","k__Metazoa, p__Annelida, c__unknown, o__Haplotaxida, f__Tubificidae, g__Nais, s__Nais_communis/variabilis_complex_sp._A1"
"36","k__Metazoa, p__Annelida, c__unknown, o__Haplotaxida, f__Tubificidae, g__Nais, s__Nais_stolci"
"37","k__Metazoa, p__Annelida, c__unknown, o__Haplotaxida, f__Tubificidae, g__Vejdovskyella, s__Vejdovskyella_sp._2_AEB-2009"
"38","k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Chydoridae, g__Chydorus, s__Chydorus_sp._PS-2013"
"39","k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Daphniidae, g__Daphnia, s__Daphnia_sp._BOLD:ACW5340"
"40","k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Daphniidae, g__Scapholeberis, s__Scapholeberis_mucronata"
"41","k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Macrotrichidae, g__Macrothrix, s__Macrothrix_sp._HE-364"
"42","k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Cladotanytarsus, s__Cladotanytarsus_mancus"
"43","k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Cricotopus, s__Cricotopus_sylvestris"
"44","k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Dicrotendipes, s__Dicrotendipes_nervosus"
"45","k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Endochironomus, s__Endochironomus_albipennis"
"46","k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Limnophyes, s__Limnophyes_pentaplastus"
"47","k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Stempellinella, s__Stempellinella_edwardsi"
"48","k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Tanytarsus, s__Tanytarsus_bathophilus"
"49","k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Tanytarsus, s__Tanytarsus_lestagei"
"50","k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Tanytarsus, s__Tanytarsus_mendax"
"51","k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Tanytarsus, s__Tanytarsus_occultus"
"52","k__Metazoa, p__Arthropoda, c__Maxillopoda, o__Calanoida, f__Diaptomidae, g__Eudiaptomus, s__Eudiaptomus_gracilis"
"53","k__Metazoa, p__Arthropoda, c__Maxillopoda, o__Cyclopoida, f__Cyclopidae, g__Acanthocyclops, s__Acanthocyclops_americanus"
"54","k__Metazoa, p__Arthropoda, c__Maxillopoda, o__Cyclopoida, f__Cyclopidae, g__Eucyclops, s__Eucyclops_cf._serrulatus_ZISP_11SNM-532"
"55","k__Metazoa, p__Arthropoda, c__Maxillopoda, o__unknown, f__unknown, g__unknown, s__Maxillopoda_sp._BOLD:ACW5478"
"56","k__Metazoa, p__Arthropoda, c__Maxillopoda, o__unknown, f__unknown, g__unknown, s__Maxillopoda_sp._BOLD:ACW5664"
"57","k__Metazoa, p__Arthropoda, c__Ostracoda, o__Podocopida, f__Cyprididae, g__Cyprideis, s__Cyprideis_torosa"
"58","k__Metazoa, p__Arthropoda, c__Ostracoda, o__Podocopida, f__Darwinulidae, g__Darwinula, s__Darwinula_stevensoni"
"59","k__Metazoa, p__Arthropoda, c__unknown, o__unknown, f__unknown, g__unknown, s__Arthropoda_environmental_sample"
"60","k__Metazoa, p__Bryozoa, c__Phylactolaemata, o__unknown, f__Plumatellidae, g__Plumatella, s__Plumatella_fungosa"
"61","k__Metazoa, p__Chordata, c__Actinopteri, o__Cypriniformes, f__Cyprinidae, g__Abramis, s__Abramis_brama"
"62","k__Metazoa, p__Chordata, c__Actinopteri, o__Cypriniformes, f__Cyprinidae, g__Gobio, s__Gobio_gobio"
"63","k__Metazoa, p__Chordata, c__Actinopteri, o__Perciformes, f__Percidae, g__Gymnocephalus, s__Gymnocephalus_cernua"
"64","k__Metazoa, p__Chordata, c__Mammalia, o__Primates, f__Hominidae, g__Homo, s__Homo_sapiens"
"65","k__Metazoa, p__Chordata, c__Mammalia, o__Rodentia, f__Muridae, g__Rattus, s__Rattus_norvegicus"
"66","k__Metazoa, p__Cnidaria, c__Hydrozoa, o__Anthoathecata, f__Hydridae, g__Hydra, s__Hydra_circumcincta"
"67","k__Metazoa, p__Cnidaria, c__Hydrozoa, o__Anthoathecata, f__Hydridae, g__Hydra, s__Hydra_oligactis"
"68","k__Metazoa, p__Cnidaria, c__Hydrozoa, o__Anthoathecata, f__Oceaniidae, g__Cordylophora, s__Cordylophora_sp._IM1"
"69","k__Metazoa, p__Mollusca, c__Bivalvia, o__Unionoida, f__Unionidae, g__Unio, s__Unio_pictorum"
"70","k__Metazoa, p__Platyhelminthes, c__unknown, o__Macrostomida, f__Microstomidae, g__Microstomum, s__Microstomum_lineare"
"71","k__Metazoa, p__Rotifera, c__Bdelloidea, o__Philodinida, f__Philodinidae, g__Philodina, s__Philodina_roseola"
"72","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Brachionidae, g__Brachionus, s__Brachionus_calyciflorus"
"73","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Brachionidae, g__Brachionus, s__Brachionus_quadridentatus"
"74","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Brachionidae, g__Brachionus, s__Brachionus_urceolaris"
"75","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Brachionidae, g__Keratella, s__Keratella_cochlearis"
"76","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Brachionidae, g__Keratella, s__Keratella_quadrata"
"77","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Epiphanidae, g__unknown, s__Epiphanidae_sp._SHQC140809"
"78","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Polyarthra, s__Polyarthra_dolichoptera"
"79","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Polyarthra, s__Polyarthra_dolichoptera_complex_sp._UO-2013"
"80","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Polyarthra, s__Polyarthra_sp._UO-2013"
"81","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Polyarthra, s__Polyarthra_sp._WM-2017a"
"82","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Synchaeta, s__Synchaeta_cf._tremula/oblonga_UO-2012"
"83","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Synchaeta, s__Synchaeta_pectinata"
"84","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Synchaeta, s__Synchaeta_sp._AMD-2002"
"85","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Synchaeta, s__Synchaeta_sp._WM-2017a"
"86","k__Metazoa, p__unknown, c__unknown, o__unknown, f__unknown, g__unknown, s__invertebrate_environmental_sample"
"87","k__Viridiplantae, p__Chlorophyta, c__Trebouxiophyceae, o__Chlorellales, f__Chlorellaceae, g__Chlorella, s__Chlorella_sp._ArM0029B"
"88","k__unknown, p__Bacillariophyta, c__Bacillariophyceae, o__Bacillariales, f__Bacillariaceae, g__Nitzschia, s__Nitzschia_cf._recta_RT-2009"
"89","k__unknown, p__Bacillariophyta, c__Bacillariophyceae, o__Naviculales, f__Sellaphoraceae, g__Sellaphora, s__Sellaphora_pupula"
"90","k__unknown, p__Bacillariophyta, c__Coscinodiscophyceae, o__Melosirales, f__Melosiraceae, g__Melosira, s__Melosira_ambiqua"
"91","k__unknown, p__Bacillariophyta, c__Coscinodiscophyceae, o__Thalassiosirales, f__Thalassiosiraceae, g__Thalassiosira, s__Thalassiosira_pseudonana"
"92","k__unknown, p__unknown, c__Chrysophyceae, o__Chromulinales, f__Dinobryaceae, g__Dinobryon, s__Dinobryon_divergens"
"93","k__unknown, p__unknown, c__Chrysophyceae, o__unknown, f__Apoikiaceae, g__Apoikiospumella, s__Apoikiospumella_mondseeiensis"
"94","k__unknown, p__unknown, c__Dinophyceae, o__Peridiniales, f__Thoracosphaeraceae, g__Thoracosphaera, s__Thoracosphaera_heimii"
"95","k__unknown, p__unknown, c__Oomycetes, o__Pythiales, f__Pythiaceae, g__Pythium, s__Pythium_flevoense"
"96","k__unknown, p__unknown, c__Oomycetes, o__Saprolegniales, f__Saprolegniaceae, g__Saprolegnia, s__Saprolegnia_delica"
"97","k__unknown, p__unknown, c__Oomycetes, o__Saprolegniales, f__Saprolegniaceae, g__Saprolegnia, s__Saprolegnia_parasitica"
"98","k__unknown, p__unknown, c__unknown, o__Prymnesiales, f__Chrysochromulinaceae, g__Chrysochromulina, s__Chrysochromulina_sp._CCMP291"
"99","k__unknown, p__unknown, c__unknown, o__unknown, f__unknown, g__unknown, s__zooplankton_environmental_sample"
"100","k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Chydoridae, g__Chydorus"
"101","k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Cladopelma"
"102","k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Cricotopus"
"103","k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Tanytarsus"
"104","k__Metazoa, p__Arthropoda, c__Maxillopoda, o__Cyclopoida, f__Cyclopidae, g__Eucyclops"
"105","k__Metazoa, p__Arthropoda, c__Maxillopoda, o__Harpacticoida, f__Canthocamptidae, g__Canthocamptus"
"106","k__Metazoa, p__Chordata, c__Aves, o__Anseriformes, f__Anatidae, g__Anser"
"107","k__Metazoa, p__Cnidaria, c__Hydrozoa, o__Anthoathecata, f__Hydridae, g__Hydra"
"108","k__Metazoa, p__Cnidaria, c__Hydrozoa, o__Anthoathecata, f__Oceaniidae, g__Cordylophora"
"109","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Brachionidae, g__Keratella"
"110","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Polyarthra"
"111","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Synchaeta"
"112","k__unknown, p__Bacillariophyta, c__Bacillariophyceae, o__Cymbellales, f__Cymbellaceae, g__Encyonema"
"113","k__unknown, p__Bacillariophyta, c__Coscinodiscophyceae, o__Thalassiosirales, f__Skeletonemataceae, g__Skeletonema"
"114","k__unknown, p__unknown, c__Chrysophyceae, o__Chromulinales, f__Dinobryaceae, g__Dinobryon"
"115","k__unknown, p__unknown, c__Oomycetes, o__Peronosporales, f__unknown, g__Phytophthora"
"116","k__unknown, p__unknown, c__Oomycetes, o__Pythiales, f__Pythiaceae, g__Pythium"
"117","k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Bosminidae"
"118","k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae"
"119","k__Metazoa, p__Arthropoda, c__Maxillopoda, o__Cyclopoida, f__Cyclopidae"
"120","k__Metazoa, p__Chordata, c__Aves, o__Gruiformes, f__Rallidae"
"121","k__Metazoa, p__Porifera, c__Demospongiae, o__Spongillida, f__Spongillidae"
"122","k__unknown, p__unknown, c__Florideophyceae, o__Batrachospermales, f__Batrachospermaceae"
"123","k__unknown, p__unknown, c__Oomycetes, o__Saprolegniales, f__Saprolegniaceae"
"124","k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera"
"125","k__Metazoa, p__Arthropoda, c__Insecta, o__Hymenoptera"
"126","k__Metazoa, p__Arthropoda, c__Maxillopoda, o__Cyclopoida"
"127","k__Metazoa, p__Porifera, c__Demospongiae, o__Spongillida"
"128","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima"
"129","k__unknown, p__unknown, c__Dinophyceae"
"130","k__unknown, p__unknown, c__Oomycetes"
"131","k__Metazoa"
"132","__unassigned"
